id,body,user_id,created_at,updated_at,comments_count,cached_votes_total,cached_votes_score,cached_votes_up,cached_votes_down,cached_weighted_score,cached_weighted_total,cached_weighted_average
1,Hello from 1 user!,1,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
2,Hello from 2 user!,2,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
3,Hello from 3 user!,3,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
4,Hello from 4 user!,4,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
5,Hello from 5 user!,5,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
6,Hello from 6 user!,6,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
7,Hello from 7 user!,7,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
8,Hello from 8 user!,8,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
9,Hello from 9 user!,9,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
10,Hello from 10 user!,10,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
11,Hello from 11 user!,11,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
12,Hello from 12 user!,12,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
13,Hello from 13 user!,13,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
14,Hello from 14 user!,14,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
15,Hello from 15 user!,15,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
16,Hello from 16 user!,16,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
17,Hello from 17 user!,17,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
18,Hello from 18 user!,18,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
19,Hello from 19 user!,19,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
20,Hello from 20 user!,20,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
21,Hello from 21 user!,21,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
22,Hello from 22 user!,22,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
23,Hello from 23 user!,23,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
24,Hello from 24 user!,24,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
25,Hello from 25 user!,25,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
26,Hello from 26 user!,26,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
27,Hello from 27 user!,27,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
28,Hello from 28 user!,28,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
29,Hello from 29 user!,29,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
30,Hello from 30 user!,30,2022-06-23 11:49:10 UTC,2022-06-23 11:49:10 UTC,0,0,0,0,0,0,0,0.0
